KS,Zulassungsbezirk,Benzin,Diesel,Gas,Hybrid,Elektro,Sonstige Kraftstoffart,Euro 1,Euro 2,Euro 3,Euro 4,Euro 5,Euro 6,Sonstige Emissionsgruppe
05916,"HERNE,STADT",57695,16983,1433,436,63,17,1199,6159,7147,23993,18445,17960,253
05954,ENNEPE-RUHR-KREIS,141229,50669,2644,1251,293,31,2597,14435,15759,56367,52341,51163,648
05958,HOCHSAUERLANDKREIS,104988,56899,1617,718,178,24,1717,10002,11925,44428,48585,45508,662
05962,MAERKISCHER KREIS,173310,72492,2786,1685,240,41,2941,16386,20133,71939,68885,66263,1048
05966,OLPE,57517,29682,647,434,98,17,954,4658,5854,25109,26769,23677,385
05970,SIEGEN-WITTGENSTEIN,118372,53117,1159,1146,202,19,1833,9511,11413,47082,50596,50582,812
05974,SOEST,122768,60770,2391,957,322,27,2436,14328,15677,55352,51746,44675,917
05978,UNNA,166685,64841,3169,1497,289,52,3086,16614,19335,68643,62813,62506,850
07111,"KOBLENZ,STADT",39482,21710,479,417,76,7,682,3578,4403,17017,16376,19186,234
07131,AHRWEILER,55775,26640,1088,470,83,12,1236,6252,7383,26288,23210,18130,425
07132,ALTENKIRCHEN(WESTWLD.),55296,25858,815,445,83,21,966,5686,6943,24124,23305,20360,326
07133,BAD KREUZNACH,65749,31028,948,540,131,14,1407,7646,8639,29507,26815,22602,487
07134,BIRKENFELD,35178,15771,308,334,40,17,691,3843,4403,15344,14658,11983,203
07135,COCHEM-ZELL,24222,15938,450,123,35,6,487,2628,3523,12170,12360,9009,158
07137,MAYEN-KOBLENZ,91265,43361,1151,692,156,21,1716,8699,10921,40625,39535,32669,640
07138,NEUWIED,77028,38242,1549,643,133,25,1526,8156,10645,35637,32110,27416,610
07140,RHEIN-HUNSRUECK-KREIS,40797,27164,588,380,75,10,733,4051,5326,20126,21581,16147,318
07141,RHEIN-LAHN-KREIS,53282,24485,874,347,85,17,1072,5869,6671,23535,22282,18269,406
07143,WESTERWALDKREIS,85404,46775,1222,618,167,21,1324,7827,9743,36795,40348,36078,576
07211,TRIER-SAARBURG,91974,55930,538,975,204,20,1721,9139,12139,42462,45054,36634,697
07231,BERNKASTEL-WITTLICH,44268,28523,368,369,89,7,875,4865,6319,21486,22149,16787,332
07232,EIFELKREIS BITBURG-PRUEM,34989,29104,293,446,80,13,773,4417,5565,18783,19667,14720,324
07233,VULKANEIFEL,23629,16321,322,192,34,8,468,2698,3338,11657,12254,9423,212
